"hotel","location","ranking","rating","review_count","min_price_usd","max_price_usd","review","date"
"Bonoo Indian Tapas Restaurant","675 Finchley Road, London NW2 2JP England","#1 of 15,800 Restaurants in London","5.0","(2,673)","$25","$63","Amazing spot! Accompanied with great staff, very friendly and caring about customer experience 😀 the food was exceptional! Flavourful and tasty, it also arrived really quick.","Date of visit: December 2023"
"Bonoo Indian Tapas Restaurant","675 Finchley Road, London NW2 2JP England","#1 of 15,800 Restaurants in London","5.0","(2,673)","$25","$63","Bonoo was suggested to us by some friends and we were not disappointed!
Food and service was absolutely first class from start to finish, the lamb biryani was to die for! 
Our waitress Dimple was warm, friendly and attentive from beginning to end. I would...highly highly recommend and will visit again without any doubt!More","Date of visit: December 2023"
"Bonoo Indian Tapas Restaurant","675 Finchley Road, London NW2 2JP England","#1 of 15,800 Restaurants in London","5.0","(2,673)","$25","$63","Second time visiting and once again food was absolutely amazing.  It’s expensive but i LOVE Indian food and this is up there with the best!","Date of visit: December 2023"
"Bonoo Indian Tapas Restaurant","675 Finchley Road, London NW2 2JP England","#1 of 15,800 Restaurants in London","5.0","(2,673)","$25","$63","Had a lovely meal at Bonoo, the chilli paneer and okra fries were a highlight, second only to the extremely friendly and accommodating service!","Date of visit: December 2023"
"Bonoo Indian Tapas Restaurant","675 Finchley Road, London NW2 2JP England","#1 of 15,800 Restaurants in London","5.0","(2,673)","$25","$63","Hands down, best butter chicken ever. The staff are so sweet and attentive. 10/10 recommend. Will definitely be back.","Date of visit: December 2023"
"Bonoo Indian Tapas Restaurant","675 Finchley Road, London NW2 2JP England","#1 of 15,800 Restaurants in London","5.0","(2,673)","$25","$63","Fantastic dinner, lovely staff and great vegetarian (and other dietary)  options! Will definitely return.","Date of visit: December 2023"
"Bonoo Indian Tapas Restaurant","675 Finchley Road, London NW2 2JP England","#1 of 15,800 Restaurants in London","5.0","(2,673)","$25","$63","Not that great , there is room for improvement! We had to wait a long time for our order to be taken and on top of that, we waited for the food to arrive to our table for more than 20 min, this considering it...wasn’t even that busy!More","Date of visit: December 2023"
"Bonoo Indian Tapas Restaurant","675 Finchley Road, London NW2 2JP England","#1 of 15,800 Restaurants in London","5.0","(2,673)","$25","$63","The food was mainly very good with some of the dishes being different to the usual but overpriced for what you received. I would not call it tapas, it was organised more along the lines of starters and mains.  We were sat downstairs, small but...nice atmosphere and friendly and attentive staff.   Only thing I did not like was that they bring you over a link to Tripadvisor and Google reviews (from memory) before they give you the bill and ask if you can fill out, puts you a bit on the spot but great marketing tool on their partMore","Date of visit: October 2023"
"Bonoo Indian Tapas Restaurant","675 Finchley Road, London NW2 2JP England","#1 of 15,800 Restaurants in London","5.0","(2,673)","$25","$63","Really nice restaurant. Great food and atmosphere. There was nothing I ate that I didn’t enjoy and look forward to coming again!","Date of visit: December 2023"
"Bonoo Indian Tapas Restaurant","675 Finchley Road, London NW2 2JP England","#1 of 15,800 Restaurants in London","5.0","(2,673)","$25","$63","Delicious food and beautiful atmosphere. The decor and waiting staff are lovely. The restaurant is really nice and intimate. They brought us a complimentary drink and dessert for our anniversary which is always a bonus!","Date of visit: December 2023"
