Type,Price,Initial Amount,Monthly Installment,Remaining Installments,Location,Bath(s),Area,Purpose,Bedroom(s),Added,Features,Room,Communication,Community
Flat,PKR2.08 Crore,PKR20.81 Lakh,PKR3.12 Lakh,60 Months,"Gulberg, Islamabad, Islamabad Capital",1,2.5 Marla,For Sale,1,4 hours ago,"['Main Features, Built in year: 2018, Parking Spaces, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor, Elevators, Service Elevators in Building, Other Main Features, Furnished']","['Rooms, Bedrooms: 2, Bathrooms: 2, Drawing Room, Dining Room, Kitchens: 1, Prayer Room, Powder Room Gym, Store Rooms: 1, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
Flat,PKR69.81 Lakh,,,,"Faisal Town - F-18, Islamabad, Islamabad Capital",1,2.4 Marla,For Sale,1,7 hours ago,"['Main Features, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Service Elevators in Building, Furnished']","['Rooms, Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room Gym, Steam Room, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
Flat,PKR1.22 Crore,,,,"Faisal Town - F-18, Islamabad, Islamabad Capital",2,4.2 Marla,For Sale,2,7 hours ago,"['Main Features, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Service Elevators in Building, Furnished']","['Rooms, Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room Gym, Steam Room, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR6.65 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,15 Marla,For Sale,5,21 hours ago,"['Main Features, Built in year: 2022, Parking Spaces: 2, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 1, Floors: 2, Floors in Building: 24, Elevators: 4, Service Elevators in Building, Other Main Features, Furnished']","['Rooms, Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
Flat,PKR1.5 Crore,,,,"Bahria Town, Islamabad, Islamabad Capital",3,6.4 Marla,For Sale,2,21 hours ago,"['Main Features, Built in year: 2022, Parking Spaces: 2, Flooring, Electricity Backup, Floor: 1, Floors: 8']","['Rooms, Bedrooms: 2, Bathrooms: 3, Servant Quarters: 1, Drawing Room, Dining Room, Prayer Room, Gym, Lounge or Sitting Room']","['Plot Features, Possesion, Corner, Park Facing, File, Balloted, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Community Features, Community Lawn or Garden, First Aid or Medical Centre, Kids Play Area, Mosque, Community Centre']"
House,PKR45 Crore,,,,"F-7, Islamabad, Islamabad Capital",6,1.3 Kanal,For Sale,6,18 minutes ago,"['Main Features, Built in year, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors, Other Main Features']","['Rooms, Bedrooms: 6, Bathrooms: 7, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR5.75 Crore,,,,"Bani Gala, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,8,2 hours ago,"['Main Features, Built in year: 2022, Parking Spaces: 3, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup']","['Rooms, Bedrooms: 8, Bathrooms: 12, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 3, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
Flat,PKR51 Lakh,,,,"Bahria Town, Islamabad, Islamabad Capital",1,1.8 Marla,For Sale,1,2 hours ago,"['Main Features, Built in year: 2023, Parking Spaces: 3, Flooring, Electricity Backup, Floor: 2, Floors in Building: 4, Elevators: 1']","['Rooms, Bedrooms: 1, Bathrooms: 1, Kitchens: 1']","['Nearby Locations and Other Facilities, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Nearby Public Transport Service']",['Other Facilities\r\nPet Policy']
House,PKR9.5 Crore,,,,"Bahria Town, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,5,2 hours ago,"['Main Features, Built in year: 2023, Parking Spaces: 3, Flooring, Electricity Backup']","['Rooms, Bedrooms: 5']",[],[]
Flat,PKR55 Lakh,,,,"Bahria Town, Islamabad, Islamabad Capital",1,1.8 Marla,For Sale,-,3 hours ago,"['Main Features, Built in year: 2823, Parking Spaces: 1, Lobby in Building, Flooring, Electricity Backup, Floor: 2, Floors in Building: 3']","['Rooms, Bedrooms: 1, Bathrooms: 1, Kitchens: 1, Laundry Room']","['Plot Features, Possesion, Corner, Park Facing, Disputed, File, Balloted, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready']"
